Distance,Overlap,
18.439,10.133605044560657,
120.675,100,
125,100,
20.463,11.810399872864842,
49.968,42.806874380527496,
-100,0,
125,100,
125,100,
120.894,100,
68.081,65.3800489150159,
14.385,7.025872348794973,
125,100,
118.873,100,
-74.462,0,
13.719,6.552715956565656,
59.393,54.38641777802913,
13.333,6.28241651761199,
106.704,100,
34.944,25.75885506273513,
15.253,7.661395274543454,
-100,0,
-0.165,0,
1.249,0.1832992812555007,
22.428,13.509521116651493,
-53.014,0,
1.503,0.24181144686005587,
32.569,23.237890385241826,
119.859,100,
10.265,4.261710621948767,
125,100,
43.096,34.768522389452336,
125,100,
16.037,8.249842839761657,
125,100,
70.973,69.07486587793497,
47.216,39.53155443640121,
47.266,39.58968872067665,
-1.003,0,
29.499,20.12999531458861,
40.757,32.088003885725044,
-95.825,0,
125,100,
125,100,
68.395,65.7787736451364,
46.766,39.000927533942516,
125,100,
8.006,2.945023324739908,
57.133,51.56756278691934,
34.146,24.8949919067679,
-87.078,0,
125,100,
114.568,100,
125,100,
8.984,3.4960090746391685,
117.431,100,
100.976,100,
6.049,1.941126645861091,
67.494,64.63202510580058,
75.081,74.2722426767903,
38.204,29.2540704928756,
88.906,90.90775557733282,
125,100,
21.977,13.113890652051882,
44.063,35.85209514157335,
57.049,51.45141713578617,
69.837,67.6158022482232,
18.866,10.481201672613807,
123.165,100,
12.145,5.468749573514899,
74.848,74.01747601918187,
120.675,100,
125,100,
-0.109,0,
85.11,86.57785534692192,
18.024,9.799762099546598,
21.449,12.654769763135523,
-84.737,0,
125,100,
44.169,35.97393068377227,
118.964,100,
125,100,
-28.044,0,
26.939,17.65626899583081,
4.93,1.429565024858993,
88.679,90.67597699338071,
76.405,75.97925581219882,
-69.581,0,
25.137,15.96130811858216,
122.791,100,
63.996,60.188437746928514,
24.98,15.831193909413766,
14.867,7.3794157974475905,
30.616,21.24854140456453,
116.581,100,
44.991,36.955304379739914,
33.745,24.458795538932023,
33.428,24.129717617868685,
26.103,16.86842586227295,
2.228,0.43583694004186757,
16.82,8.856304106034504,
71.847,70.18894575286798,
118.873,100,
24.643,15.51859043548792,
125,100,
5.784,1.8158972348719815,
4.402,1.2071491615662848,
7.065,2.4430095150276925,
122.533,100,
61.404,56.913007675871576,
-61.295,0,
56.756,51.13554316249742,
51.27,44.37546780728542,
17.778,9.603331693990226,
-75.873,0,
91.174,93.34712472147187,
58.935,53.81383886414943,
33.745,24.458795538932023,
-75.716,0,
125,100,
72.432,70.93578739523839,
52.62,45.99005425608856,
57.778,52.34545043244586,
125,100,
4.858,1.3975232467959717,
62.102,57.79393929650617,
34.569,25.362041126060532,
74.199,73.17736618352295,
78.762,78.88971157029029,
52.938,46.40126663264152,
105.727,100,
62.088,57.77617390290509,
43.162,34.8164515926365,
75.292,74.59807241355479,
66.593,63.485911665408715,
10.265,4.261710621948767,
1.777,0.3107649547003001,
75.158,74.37001135826169,
125,100,
61.391,56.89669579936248,
43.162,34.8164515926365,
125,100,
-9.498,0,
125,100,
47.437,39.80305403761367,
56.872,51.255669600796324,
79.453,79.71195035342907,
-2.29,0,
3.502,0.8573691552156765,
1.275,0.18902226432420013,
125,100,
62.891,58.789731203620065,
125,100,
-13.623,0,
60.816,56.17324409689781,
125,100,
66.142,62.913198611348754,
31.13,21.767311353159045,
99.49,99.89384460482142,
36.594,27.52548184148595,
125,100,
86.828,88.56994649464508,
52.171,45.46737294708069,
49.968,42.806874380527496,
26.594,17.333396606159848,
47.695,40.09708724856775,
123.782,100,
26.504,17.242896634165778,
54.27,48.0311883348813,
123.378,100,
-46.224,0,
125,100,
125,100,
105.353,100,
61.638,57.208005413393295,
-14.775,0,
48.581,41.16925215662033,
50.122,43.041279201202656,
-49.279,0,
83.808,85.05546048399722,
11.173,4.832951593618706,
28.29,18.95938465820369,
17.022,9.008208079620026,
-7.096,0,
124.158,100,
125,100,
14.743,7.286104454142765,
-28.945,0,
107.491,100,
-100,0,
-16.41,0,
24.643,15.51859043548792,
50.776,43.778468534701034,
-100,0,
85.519,87.07697028094928,
125,100,
-100,0,
88.144,90.06208221488794,
71.104,69.22818922124611,
29.726,20.372535257111423,
-69.567,0,
79.663,80.00742990636779,
33.822,24.5544593952571,
71.63,69.93708964104722,
-3.255,0,
13.719,6.552715956565656,
84.357,85.74052091358587,
-2.805,0,
28.29,18.95938465820369,
30.507,21.153394151442825,
24.973,15.830243784503336,
43.613,35.333368125493195,
12.518,5.719459633033723,
125,100,
83.661,84.87879997951862,
21.977,13.113890652051882,
55.782,49.89292768680084,
43.359,35.01155910731065,
100.924,100,
-1.383,0,
52.173,45.46994491594803,
30.872,21.538608905140105,
6.655,2.2361742028664087,
56.171,50.37428845265238,
73.533,72.33362042362536,
41.807,33.27285712250279,
-1.003,0,
40.145,31.40230388351618,
11.819,5.252896923760272,
-90.234,0,
67.949,65.25180937599815,
59.895,55.05429002147741,
8.463,3.1995161995113466,
125,100,
125,100,
69.746,67.49931505758336,
49.954,42.822688640528995,
18.653,10.300580171977225,
-64.85,0,
16.918,8.927342070872637,
44.514,36.37260486327845,
11.596,5.106320842411651,
36.399,27.29167796604019,
77.86,77.76557088470028,
-84.85,0,
0.385,0.03142539309512167,
3.502,0.8573691552156765,
7.556,2.7017755056039836,
125,100,
48.904,41.5089476272389,
125,100,
