Overlap,Score,
78.187,78.17363714624912,
83.063,84.1943882292205,
125,100,
74.097,72.98688775293112,
125,100,
45.865,37.944553772586836,
59.477,54.492217545156464,
60.737,56.0736568175517,
125,100,
58.935,53.81383886414943,
125,100,
82.406,83.40214146230736,
70.168,68.0369184461315,
74.231,73.19749847747534,
56.683,51.00834171364759,
115.263,100,
94.985,96.97661919532112,
62.053,57.73176305949048,
54.163,47.93542951163081,
42.712,34.30137342193923,
125,100,
125,100,
125,100,
94.971,96.9645778103033,
15.284,7.684371609817715,
32.495,23.161292865658066,
54.389,48.176846304416124,
125,100,
117.342,100,
-100,0,
44.068,35.857616676945646,
75.753,75.15926355512666,
45.506,37.52550626241017,
-42.41,0,
46.414,38.58749936715287,
-100,0,
74.602,73.66737935403376,
86.478,88.21912797569152,
123.546,100,
24.509,15.394738531570951,
-100,0,
90.46,92.60099061388108,
54.855,48.72572915122977,
91.458,93.64801180535878,
49.006,41.69260110944378,
125,100,
103.953,100,
22.43,13.504073065492161,
125,100,
-48.542,0,
82.144,83.0243393212164,
123.248,100,
-2.805,0,
123.266,100,
52.003,45.302142125174946,
51.63,44.849530702898846,
125,100,
46.738,38.967816775977084,
125,100,
104.452,100,
63.187,59.20390236626611,
122.979,100,
40.952,32.30749529247791,
120.443,100,
61.976,57.65380120039028,
125,100,
20.626,11.948454772038994,
93.632,95.76632861689714,
40.933,32.294559495548,
15.342,7.727893369371268,
49.469,42.207994131387,
119.859,100,
-56.614,0,
79.825,80.24488373669666,
79.973,80.39022456045004,
17.022,9.008208079620026,
80.054,80.54541252755124,
67.493,64.66294598243586,
4.853,1.3961796686147203,
123.24,100,
60.286,55.50754349701841,
49.947,42.81419917576475,
59.944,55.11640051243031,
62.504,58.30050201822745,
50.372,43.29148122932362,
125,100,
75.718,75.11472431115239,
75.292,74.59807241355479,
49.873,42.703202897609046,
113.379,100,
51.262,44.399145810879006,
113.461,100,
123.35,100,
59.625,54.65144698049893,
125,100,
92.545,94.74427174913545,
91.024,93.21200812682177,
-100,0,
69.332,66.93212961310397,
60.286,55.50754349701841,
62.637,58.46946069422913,
125,100,
83.195,84.33158038033477,
53.975,47.66896801229057,
125,100,
50.378,43.33269289989513,
69.295,66.92580633752338,
125,100,
-18.074,0,
80.807,81.41806544151787,
80.391,80.90675591158946,
125,100,
66.948,63.89924660282643,
52.067,45.31419648669927,
62.989,58.91432865360592,
38.2,29.250210860397996,
113.461,100,
29.557,20.22147184742553,
70.647,68.64607900035372,
52.976,46.45838994360295,
48.874,41.497640495652874,
54.424,48.21917228185726,
125,100,
122.472,100,
24.973,15.830243784503336,
72.606,71.12184745224242,
125,100,
90.157,92.28727818426918,
72.245,70.71919645020618,
64.446,60.759447785025834,
106.554,100,
67.944,65.2053415507631,
83.424,84.62826181196633,
75.158,74.37001135826169,
72.977,71.63920784263242,
95.824,97.67072956813467,
123.222,100,
-59.646,0,
30.864,21.530293603690495,
62.088,57.77617390290509,
93.605,95.73706946213609,
11.617,5.120114191226088,
76.62,76.22589169905926,
125,100,
65.287,61.8268914836572,
35.047,25.84658312835201,
79.35,79.61966179112896,
74.321,73.31121710817371,
69.747,67.50022512517968,
85.125,86.6150438956658,
68.395,65.7787736451364,
-7.316,0,
53.412,47.014694343816565,
125,100,
125,100,
51.27,44.37546780728542,
125,100,
125,100,
125,100,
52.275,45.593098603005025,
40.981,32.329927362133844,
125,100,
72.463,70.95505892046032,
99.799,99.97360472796782,
83.316,84.46548558750978,
123.719,100,
-1.453,0,
61.844,57.43728302700526,
73.264,71.97231560024791,
110.827,100,
95.978,97.79212760855243,
125,100,
80.5,81.04089929814334,
50.37,43.28893450471665,
125,100,
125,100,
-100,0,
125,100,
59.379,54.36878726290067,
38.946,30.052244707669338,
81.465,82.22305046713778,
-100,0,
53.268,46.780420823252264,
-100,0,
121.041,100,
67.142,64.18423010631666,
62.539,58.34495986103242,
23.409,14.397921508894779,
89.966,92.10240519906039,
125,100,
72.73,71.26774027430206,
25.198,16.02224138894397,
78.304,78.31994467118353,
122.172,100,
94.535,96.58529539761132,
54.882,48.81886658886634,
99.943,99.99606651062743,
79.212,79.44931250438938,
9.815,3.986942900551561,
68.395,65.7787736451364,
93.634,95.7682728521379,
125,100,
125,100,
93.183,95.34424066838764,
28.804,19.461749748462616,
63.472,59.494680873341096,
54.424,48.21917228185726,
90.349,92.49151110495187,
83.266,84.40631703954298,
125,100,
125,100,
68.697,66.1640911446272,
51.211,44.30357928070362,
26.524,17.261454079177224,
70.349,68.2671916318888,
78.508,78.59202188516473,
90.606,92.77637324822678,
40.995,32.35500184345507,
71.66,69.93536693309336,
125,100,
88.356,90.317833103357,
64.341,60.626483696760204,
124.134,100,
42.768,34.365656702249666,
50.892,43.91854167522994,
51.862,45.09182197147915,
125,100,
80.097,80.51986561471524,
75.616,74.96091640683746,
8.259,3.082542857752202,
-100,0,
8.325,3.12413897876358,
125,100,
125,100,
21.519,12.731812445584787,
70.647,68.64607900035372,
125,100,
94.985,96.97661919532112,
101.749,100,
17.923,9.71929166894075,
125,100,
125,100,
92.283,94.4686615951935,
43.972,35.74658353719935,
28.502,19.190809434983414,
109.138,100,
91.337,93.51465014443077,
44.974,36.940134110145245,
